科,亜科,属,種小名,和名
ハムシ科,ヒゲナガハムシ亜科,Altica,aenea,カミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,birmanensis,ビルマカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,caerulescens,ヒメカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,circaeae,ミズタマソウカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,cirsicola,アザミカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,fragariae,イチゴカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,japonica,キタカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,kimotoi,ミヤマアザミカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,komiyai,コミヤカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,kurosawai,クロサワカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,latericosta,スジカミナリハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Altica,latericosta,スジカミナリハムシ　本州四国九州亜種
ハムシ科,ヒゲナガハムシ亜科,Altica,nipponica,ニホンカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,oleracea,アカバナカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,sanguisorbae,クロカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,viridicyanea,コカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Amphimela,metallica,レモントビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,abdominalis,キイロツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,albescens,オキナワアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,amamiana,アマミツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,erichsoni,キアシツブノミハムシ1
ハムシ科,ヒゲナガハムシ亜科,Aphthona,formosana,タイワンツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,hakonensis,ハコネツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,interstitialis,アヤメツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,kurosawai,クロサワツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,perminuta,ツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,semiviridis,キアシツブノミハムシ2
ハムシ科,ヒゲナガハムシ亜科,Aphthona,strigosa,サメハダツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthonaltica,angustata,ホソルリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthonoides,beccaril,トゲアシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,biplagiatus,テントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,rufus,ヘリグロテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,ryukyuensis,リュウキュウテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,tsekooni,ヒメテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,unicolor,クロテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,balyi,オオキイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,clarki,クラークマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,clypeatus,オオアカマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,nigripennis,クロバネマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,punctipennis,アカイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,unicolor,ウスイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Batophila,acutangula,ハネナシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Batophila,latissima,ハバビロハネナシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,collaris,フタイロセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,nipponica,コバンマメトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,simplicithorax,キイロマメトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Cangshanaltica,ogatai,オガタマンマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),オカボヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヒメドウガネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),キイチゴヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ムギヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヤマヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ワタラセヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),フタイロヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),テンサイトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),サツマイモヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),クサイチゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),カンミヤヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),ニセテンサイトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),アオバドウガネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),オオヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),キイチゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Udorpes),タイワンヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Udorpes),ウミベヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,nakanoi,エグリヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,sakishimana,サキシマヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,tokushigei,ツマキレヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,japonica,ミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,sahalinensis,スズキミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,yahiroi,ヤヒロミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Dibolia,(Dibolia),ヤハズトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Disonycha,politula,メリケントビハムシ
ハムシ科,ヒゲナガハムシ亜科,Epitrix,hirtipennis,タバコノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Euphitrea,nisotroides,ニセタマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,duodecimmaculata,ジュウニホシニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,hiranoi,ヒラノニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,kasuga,トホシニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,sauteri,ムツボシニセマルトビハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,sauteri,ムツボシニセマルトビハムシ　屋久島亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,balyi,ヨツモンミゾアシノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,changi,ヒメマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,cinctipennis,キベリヒラタノミハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,cinctipennis,キベリヒラタノミハムシ　沖縄本島亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,flaviabdominalis,キバラマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,flavipennis,キバネマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,foveolata,キイロミゾアシノミハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,foveolata,キイロミゾアシノミハムシ　宮古島亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,plagioderoides,ヒゲナガルリマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,shirakii,マエモンヒラタノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,takarai,タカラミゾアシノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hermaeophaga,(Orthocrepis),ヒメトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Hespera,lomasa,シロヒゲトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Hippuriphila,babai,アカガネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Hyphasis,inconstans,コブアシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Ivalia,bistripunctata,ムツボシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Ivalia,hiranoi,イリオモテコダマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Ivalia,kodama,アマミコダマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Ivalia,nakanoi,ナカノコダマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Ivalia,variabilis,カワリコダマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lanka,esakii,ヘリグロセダカトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lanka,fulva,キイロセダカトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lanka,magnoliae,ホオノキセダカトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lanka,nagaii,フタツメタマノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Lesagealtica,berberii,ルリチビカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Lesagealtica,flavicornis,ウスグロチビカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromela,minutissima,セスジトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromela,okinawana,オキナワセスジトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromima,minuta,サシゲトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromorpha,inexpectata,オキノエラブクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromorpha,loochooana,リュウキュウクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lipromorpha,sakishimana,サキシマクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Liprus,punctatostriatus,ナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ヒルガオトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),クロボシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ミスジアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ムラサキアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),アカアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),セアカアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),タイワンアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),イヌノフグリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),イシガキアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),コミヤアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),オオバコアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),クガイソウアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),コクロアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ハッカアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ヒヨドリバナアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),オオアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),チュウジョウアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ヒナノウスツボアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),トウヨウアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),マルアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),カクムネアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),タツナミソウアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),オオバコトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ヨモギトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),ハンゴンソウアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),スズキアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),トカラアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Longitarsus,(Longitarsus),カクバネアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,amamiana,アマミホソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,birmanica,マエアカホソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,collaris,ムネアカオオトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,funesta,クワノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,hidakai,ヒダカホソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,pryeri,クビアカトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,sakishimana,サキシマホソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,tenebrosa,キアシノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Luperomorpha,tokejii,トケジホソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lythraria,komiyamai,コナスビトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Lythraria,salicariae,トラノオトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Manobia,aoshimense,ケシタマノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Manobia,formosana,チャイロケシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Manobia,gressitti,サキシマコトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Manobia,lewisi,ルイスコトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Manobia,parvula,クロコトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Mantura,(Mantura),スイバトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Mantura,(Mantura),カタバミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Mantura,(Mantura),ニホンハモグリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Mantura,(Mantura),セマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,acuminata,トガリカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,gruevi,セダカカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,hiranoi,ヒラノカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,interpunctata,ホソカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,komatsui,クロカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,laevicollis,カクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,obscuritarsis,オオキイロノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,ohkawai,ワタラセカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,recticollis,カクムネチビトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,satoi,アジサイカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,sibirica,クサレダマハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,sublaevis,アラメカクムネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Neocrepidodera,takara,キイロチビトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Nonarthra,amamiana,カワリヒゲブトノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Nonarthra,cyanea,ルリマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Nonarthra,tibialis,コマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Orthaltica,okinawana,キイロケナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Orthaltica,shirozui,ケナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Parategyrius,unicolor,ニセアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Parazipangia,okiana,ニセグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Philopona,vibex,タマアシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Phygasia,fulvipennis,チャバネツヤハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,chujoe,チュウジョウキスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,ezoensis,ムモンキスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,ochripes,キアシキスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,rectilineata,ホソキスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,shirahatai,シラハタキスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Phyllotreta,striolata,キスジノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Podagricomela,weisei,カラタチトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Podontia,quatordecimpunctata,ジュウシホシキイロオオハムシ
ハムシ科,ヒゲナガハムシ亜科,Pseudodera,xanthospila,フタホシオオノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,hirtus,クビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,komiyai,コミヤクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,kurosawai,クロサワクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,nigritus,アラメクビボソトビハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,nigritus,アラメクビボソトビハムシ　伊豆諸島亜種
ハムシ科,ヒゲナガハムシ亜科,Pseudoliprus,suturalis,セスジクビボソトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Psylliodes,(Psylliodes),アサトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Psylliodes,(Psylliodes),ベーリーナガスネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Psylliodes,(Psylliodes),ルリナガスネトビハムシ
