"和名,学名,食草名,成虫出現時期"
"ワモンナガハムシ,Zeugophora annulata (Baly),""マユミ、ニシキギ、クロヅルなど"",4~9月"
"ナガハムシ(クロナガハムシ),Orsodacne arakii Chujo,""ハシドイ、オオカメノキの花など"",""4~5月(山地では6~8月)"""
"カタビロハムシ,Colobaspis japonica (Baly),""ネズミモチ、コバノトネリコ"",4~6月"
"サムライマメゾウムシ,Bruchidius japonicus (Harold),""ヤマハギの実、ニセアカシアなどの花"",不明"
"サイカチマメゾウムシ,Megabruchidius dorsalis (Fahraeus),サイカチの実,不明"
"エンジュマメゾウムシ,Megabruchidius sophorae Tuda et Morimoto,""エンジュ、マユミなどの花"",不明"
"イクビマメゾウムシ,Spermophagus rufiventris Boheman,""コクララの実、フジマメ、ヒルガオ、カエデ、ウツギ、ミズキなどの花"",不明"
"イネネクイハムシ,Donacia provostii Fairmaire,""ジュンサイ、コウホネ、ヒルムシロ、ヒツジグサ、ヒシなど、イネの根"",5~11月"
"スゲハムシ(キヌツヤミズクサハムシ),Plateumaris sericea (Linnaeus),""スゲ類、ハリイ類、各種の花"",4~9月"
"キンイロネクイハムシ,Donacia japana Chujo et Goecke,""ミクリ類、スゲ類の花"",4~10月"
"ジュウシホシクビナガハムシ,Crioceris quatuordecimpunctata (Scopoli),""アスパラガス、キジカクシ、クサスギカズラなど"",4~10月"
"ルイスクビナガハムシ,Lilioceris lewisi (Jacoby),""マイヅルソウ、ナルコユリ、ギボウシ類など"",4~10月"
"アカクビナガハムシ,Lilioceris subpolita (Motschulsky),""サルトリイバラ、シオデ"",4~9月"
"キイロクビナガハムシ,Lilioceris rugata (Baly),""ヤマノイモ、オニドコロなど"",4~7月"
"ルリクビボソハムシ,Lema cirsicola Chujo,アザミ,4~10月"
"トゲアシクビボソハムシ,Lema coronata Baly,ツユクサ,4~11月"
"キバラルリクビボソハムシ,Lema concinnipennis Baly,ヨツユクサ,5~9月"
"トホシクビボソハムシ,Lema decempunctata Gebler,クコ,3~11月"
"アカクビボソハムシ(カワリクビボソハムシ),Lema diversa Baly,ツユクサ,4~11月"
"キベリクビボソハムシ,Lema adamsii Baly,ヤマノイモ,4~9月"
"ヤマイモハムシ,Lema honorata Baly,ヤマノイモ,4~10月"
"オオクビボソハムシ,Lema pectoralis unicolor Clark,コウトウシラン,""4月、10月(周年発生の可能性あり)"""
"イネクビボソハムシ,Oulema oryzae (Kuwayama),""イネ、カモガヤ、マコモなど"",4~9月"
"アワクビボソハムシ,Oulema dilutipes (Fairmaire),""アワ、エノコログサ"",4~11月"
"ヨツボシナガツツハムシ,Clytra arida Weise,""ハギ類、ヤナギ類、カンバ、ブナ（成虫）、ヤマアリ類の巣材の一部（幼虫）"",6~10月"
"クロオビツツハムシ(クロオビナガツツハムシ),Physosmaragdina nigrifrons (Hope),""イタドリ、マルバハギ、ナツフジ"",5~10月"
"キボシルリハムシ(キボシナガツツハムシ),Smaragdina aurita (Linnaeus),""カンバ、ヤナギ、ハギなど"",""4~6月(山地では6~8月)"""
"ムナキルリハムシ(ムナキナガツツハムシ),Smaragdina semiaurantiaca (Fairmaire),""ヤナギ、カンバ類など"",4~6月"
"キイロナガツツハムシ,Smaragdina nipponensis (Chujo),""エノキ、ミズキ、イヌシデ、クリ、クヌギ、コナラなど"",4~6月"
"ハギツツハムシ,Pachybrachis eruditus (Baly),""ハギ、ヤナギ類"",5~10月"
"タマツツハムシ,Adiscus lewisii (Baly),""クヌギ、コナラ、ヤマハンノキ"",6~9月"
"ヨツモンクロツツハムシ,Cryptocephalus nobilis Kraatz,""カシワ、ウワミズザクラ"",""4~5月(山地では6~7月)"""
"タテスジキツツハムシ,Cryptocephalus nigrofasciatus Jacoby,""ヤマハギ、ハシバミ、ヤナギ"",6~8月"
"カシワツツハムシ,Cryptocephalus scitulus Baly,""コナラ、カシワ"",5~9月"
"チビルリツツハムシ,Cryptocephalus confusus Suffrian,コナラ,""5~6月(山地では7~8月)"""
"ジュウシホシツツハムシ,Cryptocephalus tetradecaspilotus Baly,""ヌマトラノオ、オカトラノオ、マルバハギ"",6~8月"
"キボシツツハムシ,Cryptocephalus perelegans Baly,""コナラ、シイ類"",4~9月"
"ムシクソハムシ(ナミムシクソハムシ),Chlamisus spilotus (Baly),""コナラ、ヤナギ類、サクラ、ミズキ、ウツギ類"",4~9月"
"ツツジコブハムシ,Chlamisus laticollis (Chujo),""ツツジ類、サツキ"",4~10月"
"トホシニセマルトビハムシ,（学名記載なし）,""ノキシノブ、マメヅタ"",不明"
"ドウガネツヤハムシ,Oomorphoides cupreatus (Baly),タラノキ,3~10月"
"アオグロツヤハムシ,Oomorphoides nigrocaeruleus (Baly),""キヅタ、センノキ、タラノキ"",4~6月"
"ウスイロサルハムシ,Basilepta pallidula (Baly),""マツ類、スギ類、ヒノキ、コナラ、クリなど"",6~8月"
"サクラサルハムシ(ヒトミヒメサルハムシ),Cleoporus variabilis (Baly),""サクラ、ウメ、ナシ、リンゴ"",5~9月"
"アオガネヒメサルハムシ(アオガネチビサルハムシ),Nodina chalcosoma Baly,""ブドウ、テリハノイバラ、ノボタン"",6~7月"
"チャイロサルハムシ(ハンノキサルハムシ),Basilepta balyi (Harold),ハンノキ,4~10月"
"アオバネサルハムシ,Basilepta fulvipes (Motschulsky),ヨモギ,6~7月"
"ムネアカサルハムシ,Basilepta ruficollis (Jacoby),""クマイチゴ、クリの花"",6~9月"
"ルリサルハムシ,Basilepta modesta (Jacoby),ウツギ類,4~9月"
"ムネアカキバネサルハムシ,Pagria consimile (Baly),""クズ、ハギ類"",3~11月"
"イモサルハムシ,Colasposoma dauricum (Mannerheim),""サツマイモ、ヒルガオ"",5~8月"
"クロボシツツハムシ,Cryptocephalus signaticeps Baly,""ナシ、クリ、ノイバラなど"",4~7月"
"バラルリツツハムシ,Cryptocephalus approximatus Baly,""クリ、コナラ、ノバラ、サクラ、ツツジ類、イタドリなど"",4~6月"
"ヤツボシツツハムシ,Cryptocephalus japanus Baly,""クヌギ、コナラ、クリ、イタドリ、ワレモコウ"",""4~6月(山地では6~7月)"""
"コヤツボシツツハムシ,Cryptocephalus instabilis Baly,""ヤナギ類、ハンノキ、ハギ類、ズミ"",""4~5月(山地では6~8月)"""
"セスジツツハムシ,Cryptocephalus parvulus Muller,""カンバ類、ヤナギ類、ハンノキ、シデ類、ミズナラなど"",4~9月"
"ドウガネサルハムシ,Scelodonta lewisii Baly,""ヤブガラシ、ノブドウ、エビヅル、クヌギ"",3~11月"
"トビサルハムシ,Trichochrysea japana (Motschulsky),""クリ、クヌギ"",""4~6月(低山地では5~8月)"""
"マダラアラゲサルハムシ(マダラカサハラハムシ),Demotina fasciculata Baly,""カシ類、ナラ類、チャノキ、ツバキ"",4~10月"
"チビカサハラハムシ,Demontina decorata Baly,""コナラ、ツバキ、ヒサカキ、ヤマグワ"",4~10月"
"クロオビカサハラハムシ,Hyperaxis fasciata (Baly),カシワ類,3~10月"
"アカガネサルハムシ,Acrothinium gaschkevitchii (Motschulsky),""ノブドウ、エビツル、ブドウなど"",4~7月"
"ブドウサルハムシ(フキサルハムシ),Bromius obscurus (Linnaeus),""フキ、ノブドウ類、ヤナギラン、ハコヤナギ"",5~9月"
"カサハラハムシ,Demontina modesta Baly,""ナラ類、クヌギ、コジイ"",4~9月"
"キカサハラハムシ(ヒメケブカサルハムシ),Xanthonia placida Baly,""クワ、ヤマグワ"",6~8月"
"リンゴコフキハムシ(コフキケブカサルハシ),Lypesthes ater (Baly),""リンゴ、ナシ、ウメ、クルミ"",""4~7月(山地では7~9月)"""
"オオサルハムシ,Chrysochus chinensis Baly,""イヨカズラ、ガガイモ、シロバナカモメヅル、サツマイモ"",4~9月"
"オオミドリサルハムシ,Platycorynus japonicus (Jacoby),リュウキュウテイカカズラ,3~7月"
"セアカケブカハムシ(セアカケプカサルハムシ),Lypesthes fulvus (Baly),""コウチニッケイ、ウラジロガシ"",2~6月"
"ニホンケブカサルハムシ,Lypesthes japonicus Ohno,""コナラ、ツバキ類、ケヤキ"",4~7月"
"ホソハムシ(カバノキハムシ・コカバノキハムシ),Syneta adamsi Baly,""カンバ、シデ、ブナなど"",4~9月"
"ヤナギルリハムシ,Plagiodera versicolora (Laicharting),ヤナギなど,4~11月"
"コガタルリハムシ,Gastrophysa atrocyanea Motschulsky,ギシギシ,3~7月"
"ダイコンハムシ(ダイコンサルハムシ),Phaedon brassicae Baly,""イヌガラシ、オランダガラシ、アブラナ科野菜など"",3~11月"
"ヨモギハムシ,Chrysolina aurichalcea (Mannerheim),ヨモギ,5~11月"
"ハッカハムシ,Chrysolina exanthematica (Wiedemann),""ハッカ、ヤマハッカ、カキドウシ、シソ"",4~10月"
"オオルリハムシ,Chrysolina virgata (Motschulsky),""シロネ、ヒメシロネ、クルマバナ、エゴマ"",4~10月"
"キリガミネハムシ,Chrysolina kirigaminensis Suzuki et Saitoh,""ヒメシロネ、エゾシロネ"",6~8月"
"ドロノキハムシ,Chrysomela populi Linnaeus,""ドロノキ、ヤマナラシ、ヤナギ類"",5~9月"
"ヤナギハムシ,Chrysomela vigintipunctata (Scopoli),ヤナギ類,3~6月"
"ハルリハムシ,Plagiosterna aenea (Linnaeus),""ハンノキ、カバノキなど"",5~9月"
"クルミハムシ(クルミヒラタハムシ),Gastrolina depressa Baly,""オニグルミ、サワグルミ、クルミ類など"",4~9月"
"ミヤマヒラタハムシ,Gastrolina peltoidea (Gebler),""ハンノキ、ケヤマハンノキ、ヤシャブシ類"",5~9月"
"ズグロキハムシ(ズグロヒラタハムシ),Gastrolinoides japonicus (Harold),""イヌシデ、トサミズキ"",4~8月"
"ヤマトヨダンハムシ,Paropsides soriculata (Swartz),""ヤマナシ、アオナシ"",5~9月"
"フジハムシ,Gonioctena rubripennis Baly,""フジ、ニセアカシア"",4~7月"
"トホシハムシ(ニホントホシハムシ),Gonioctena japonica Chujo et Kimoto,""ケヤマハンノキ、ミヤマハンノキ、ハンノキ"",5~8月"
"ヤツボシハムシ,Gonioctena nigroplagiata Baly,エノキ,5~7月"
"アザミオオハムシ,Galeruca vicina Solsky,""アザミ、ギボウシ、フキ"",6~10月"
"イチゴハムシ,Galerucella grisescens (Joannis),""ミゾソバ、イタドリ、ギシギシ、オランダイチゴなど"",4~11月"
"アカタデハムシ(サクラケブカヒゲナガハムシ),Pyrrhalta semifulva (Jacoby),""サクラ、トサミズキなど"",4~9月"
"ブチヒゲケブカハムシ(プチヒゲウスバヒゲナガハシ),Pyrrhalta annulicornis (Baly),""ガマズミ類、オオカメノキ、ゴマギ"",5~10月"
"イタヤハムシ(イタヤウスバヒゲナガハムシ),Pyrrhalta fuscipennis (Jacoby),""カエデ類、ハコヤナギ類"",""5月、7~10月"""
"エノキハムシ(エノキウスバヒゲナガハムシ),Pyrrhalta tibialis (Baly),エノキ,5~9月"
"ニレハムシ(ニレウスバヒゲナガハムシ),Pyrrhalta maculicollis (Motschulsky),""ニレ類、ケヤキ"",4~10月"
"サンゴジュハムシ(サンゴジュウスバヒゲナガハムシ),Pyrrhalta humeralis (Chen),""サンゴジュ、ガマズミ類、ゴマギなど"",""5~10月(7~8月は夏眠)"""
"ウエツキブナハムシ(ブナヒゲナガハムシ),Chujoa uetsukii (Chujo),ブナ,7~9月"
"ウリハムシ,Aulacophora indica (Gmelin),""ウリ類、カボチャ"",4~10月"
"クロウリハムシ,Aulacophora nigripennis Motschulsky,ウリ類,4~10月"
"ヨツボシハムシ,Paridea quadriplagiata (Baly),""シラヤマギク、ヨメナなど"",4~9月"
"アトボシハムシ,Paridea angulicollis (Motschulsky),""アマチャヅル、カラスウリなど"",3~11月"
"クロバヒゲナガハムシ(クロバヒメナガハムシ),Taumacera tibialis (Jacoby),ハンノキ類,6~8月"
"クロバハラグリハムシ,Euliroetis abdominalis (Baly),ダイズ,5~6月"
"キアシヒゲナガアオハムシ(キアシアオヒゲナガハムシ),Clerotilia flavomarginata Jacoby,""ネコノチチ、クマヤナギ類"",7~9月"
"クワハムシ,Fleutiauxia armata (Baly),""クワ、コウゾ、ヤマノイモ、クリ、フジ、ヤマノイモ類など"",3~8月"
"ケブカクロナガハムシ(ケブカクロヒゲナガハムシ),Hesperomorpha hirsuta (Jacoby),""ミズナラ、コナラ"",4~7月"
"ハンノキハムシ,Agelastica coerulea Baly,""ハンノキ、ヤシャブシ類、シラカバ"",""4~8月(山地では8~10月)"""
"イチモンジハムシ,Morphosphaera japonica (Hornstedt),""イヌビワ、イタビ類"",4~7月"
"フタスジヒメハムシ,Medythia nigrobilineata (Motschulsky),""マメ科植物、ダイズ"",5~10月"
"キバラヒメハムシ(キパラヒメヒゲナガハムシ),Exosoma flaviventre (Motschulsky),""クリ、ノリウツギなどを訪花"",5~9月"
"ハラグロヒメハムシ(ハラグロヒメヒゲナガハムシ),Calomicrus cyaneus (Jacoby),""キブシ、ボタンヅル、センニンソウ、ウツギなどを訪花"",4~9月"
"ウリハムシモドキ,Atrachya menetriesi (Faldermann),マメ科植物など,5~10月"
"キイロクワハムシ(ウスイロアシナガハムシ),Monolepta pallidula (Baly),""柑橘類、クヌギ、ミズナラ、ハイビスカス、ポンカン類など"",7~10月"
"モンキアシナガハムシ,Monolepta quadriguttata (Motschulsky),""ダイズ、ウリ類"",5~10月"
"ホタルハムシ,Monolepta dichroa Harold,""ヨモギ、ヨメナ、タデ類、イネ科、マメ科牧草など"",6~11月"
"ムナグロツヤハムシ(ムナグロツヤヒゲナガハムシ),Arthrotus niger Motschulsky,""ハンノキ、クワ、イタヤカエデなど"",3~10月"
"キクビアオハムシ,Agelasa nigriceps Motschulsky,""サルナシ、オオバアサガラ、枯葉（幼虫）"",""4~5月、8月(山地では6~7月、9~10月)"""
"ヨツキボシハムシ(コモンキヒゲナガハムシ),Hamushia eburata (Harold),""ウシハコベ、ハコベ"",3~7月"
"イタドリハムシ(イタドリヒゲナガハムシ),Galerucida bifasciata Motschulsky,""イタドリ、オオイタドリ、スイバなど"",3~9月"
"アカバナカミナリハムシ(アカバナトビハムシ・ホソカミナリトビハムシ),Altica oleracea (Linnaeus),""オオマツヨイグサ、ヤナギラン、アカバナなど"",3~11月"
"カミナリハムシ(オオカミナリトビハムシ),Altica cyanea (Weber),""チョウジダデ、オオマツヨイグサなど"",5~11月"
"スジカミナリハムシ(スジカミナリトビハムシ),Altica latericosta (Jacoby),ヤナギ類,4~9月"
"ホソルリトビハムシ,Aphthonaltica angustata (Baly),アケビ類,3~7月"
"ガマズミトビハムシ(ガマズミヒラタトビハムシ),Trachyaphthona obscura (Jacoby),""ガマズミ、ヤブウツギなど"",4~8月"
"ナガトビハムシ,Liprus punctatostriatus (Motschulsky),""ギボウシ類、キチジョウソウ"",4~7月"
"フタホシオオノミハムシ(フタホシオオトピハムシ),Pseudodera xanthospila Baly,サルトリイバラ,4~7月"
"クロコトビハムシ,Manobia parvula (Baly),""エノキグサの1種、コニシキソウ"",4~10月"
"チャバネツヤハムシ(チャバネツヤトビハムシ),Phygasia fulvipennis (Baly),ガガイモ,4~7月"
"ツブノミハムシ(ツプトビハムシ),Aphthona perminuta Baly,""クリ、コナラ、ブナ、イヌシデなど"",3~11月"
"サメハダツブノミハムシ(サメハダツプトビハムシ),Aphthona strigosa Baly,アカメガシワ,4~10月"
"アヤメツブノミハムシ,Aphthona interstitialis Weise,""ハナショウブ、シャガ、アヤメ類"",4~9月"
"カタクリハムシ(アラメトビハムシ),Sangariola punctatostriata (Motschulsky),""オニユリ、オオウバユリ、ホトトギス類"",4~6月"
"クビアカトビハムシ(クビアカホソトビハムシ),Luperomorpha pryeri (Baly),""サンショウ、イヌザンショウ"",7~8月"
"クワノミハムシ(クワホソトビハムシ),Luperomorpha funesta (Baly),""マメ類、柑橘類、クワ、コウゾ、サトウダイコン、ナス、サクラ類など"",4~9月"
"キスジノミハムシ(キスジトビハムシ),Phyllotreta striolata (Fabricius),""ダイコン、カブなどアブラナ科植物"",3~11月"
"イヌノフグリトビハムシ,Longitarsus holsaticus (Linnaeus),イヌノフグリ類,3~11月"
"クロボシトビハムシ(クロボシアシナガトビハムシ),Longitarsus bimaculatus (Baly),""ネズミモチ類、イボタ"",4~11月"
"オオバコトビハムシ(オオバコアシナガトビハムシ),Longitarsus scutellaris (Rey),""オオバコ、エゾオオバコ"",4~11月"
"ヨモギトビハムシ(ヨモギアシナガトビハムシ),Longitarsus succineus (Foudras),""イワヨモギ、オトコヨモギ、ヨモギ、ヤマヨモギなどヨモギ類、ツワブキ"",4~10月"
"ヒゲナガルリマルノミハムシ(ヒゲナガルリミゾアシトビハムシ),Hemipyxis plagioderoides (Motschulsky),""オオバコ、クヌギ、テンニンソウなど"",4~8月"
"キバネマルノミハムシ(キバネミゾアシトビハムシ),Hemipyxis flavipennis (Baly),""ネズミモチ、コバノトネリコ"",4~7月"
"ヘリグロテントウノミハムシ(ヘリグロテントウトビハムシ),Argopistes coccinelliformis Csiki,""ヒイラギモクセイ、ヒイラギ、ネズミモチ、キンモクセイなど"",4~11月"
"アカイロマルノミハムシ(アカイロマルトピハムシ),Argopus punctipennis (Motschulsky),アザミ類など,4~10月"
"オオキイロマルノミハムシ(オオキイロマルトビハムシ),Argopus balyi Harold,""ボタンヅル、センニンソウ"",5~9月"
"ムネアカタマノミハムシ(ムネアカタマトビハムシ),Sphaeroderma pacidum Harold,ボタンヅル,3~7月"
"キイロタマノミハムシ,Sphaeroderma unicolor Kimoto,センニンソウ,4~9月"
"ツマキタマノミハムシ(ツマキタマトビハムシ),Sphaeroderma apicale Baly,ススキ類,4~11月"
"ヒロアシタマノミハムシ(ヒロアシタマトピハムシ),Sphaeroderma tarsatum Baly,チシマザサ,4~9月"
"タマアシトビハムシ,Philopona vibex (Erichson),オオバコ,3~11月"
"スイバトビハムシ,Mantura clavareaul Heikertinger,""スイバ、ギシギシなど"",5~6月"
"カクムネトビハムシ(ナミカクムネトビハムシ),Neocrepidodera laevicollis (Jacoby),不明,6~11月"
"オオキイロノミハムシ(オオカクムネトビハムシ),Neocrepidodera obscuritarsis (Motchulsky),""ミゾソバ、オオバコ類"",6~10月"
"ミドリトビハムシ(ニホンミドリトビハムシ),Crepidodera japonica Baly,ヤナギ類,5~10月"
"スズキミドリトビハムシ,Grepidodera sahalinensis Konstantinov,ヤナギ類,4~10月"
"ナトビハムシ(アブラナナガスネトビハムシ),Psylliodes punctifrons Baly,""コンロンソウ、ダイコンなどアブラナ科の野菜類"",3~11月"
"クビボソトビハムシ,Pseudoliprus hirtus (Baly),""ノブドウ、ヤマブドウ、エビヅル"",5~8月"
"ヒサゴトビハムシ,Chaetocnema ingenua (Baly),メヒシバ,4~10月"
"サシゲトビハムシ,Lipromima minuta (Jacoby),ヌルデ,4~10月"
"ルリナガスネトビハムシ,Psylliodes brettinghami Baly,""ナス、ジャガイモ、ホオズキ、イヌホオズキ"",4~10月"
"ルリマルノミハムシ(ルリマルトビハムシ),Nonarthra cyanea Baly,""タンポポなどの花（成虫）、スギゴケ類（幼虫）"",3~11月"
"コマルノミハムシ(コマルトビハムシ),Nonarthra tibialis Jacoby,""リョウブ、ヒメジョオン、ノイバラ、イタドリなどの花"",5~10月"
"カタビロトゲハムシ(カタビロトゲトゲ),Dactylispa subquadrata (Baly),""カシワ、クヌギ、アラカシなど"",4~10月"
"イッシキトゲハムシ(タケトゲハムシ・タケトゲトゲ),Dactylispa issikii Chuja,メダケ、マザサなどタケ類,4~7月"
"ヒゴトゲハムシ(ヒゴノトゲトゲ),Dactylispa higoniae (Lewis),ムラサキシキブ,6月"
"ヒメキベリトゲハムシ(ヒメキベリトゲトゲ),Dactylispa angulosa (Solsky),""サクラ、コナラ、ヤマハッカなど"",4~11月"
"キベリトゲハムシ(キベリトゲトゲ),Dactylispa masonii Gestro,""フキ、ヨメナなど"",4~11月"
"ツシマヘリビロトゲハムシ(ツシマヘリビロトゲトゲ),Platypria melli Uhmann,ケンポナシ,5~10月"
"クロルリトゲハムシ(クロルリトゲトゲ),Rhadinosa nigrocyanea Motschulsky,ススキ,5~11月"
"ヨツモンカメノコハムシ,Laccoptera quadrimaculata (Thunberg),""サツマイモ、ノアサガオ"",4~12月"
"ジンガサハムシ,Aspidimorpha indica Boheman,ヒルガオ類,4~9月"
"スキバジンガサハムシ,Aspidimorpha transparipennis Motschulsky,ヒルガオ類,4~11月"
"ベニカメノコハムシ,Cassida murraea Linnaeus,""ヤブタバコ、サジガンクビソウ、ミズギク"",6~8月"
"カメノコハムシ(ナミカメノコハムシ),Cassida nebuosa Linnaeus,""アカザ、シロザなど"",4~10月"
"ヒメカメノコハムシ,Cassida piperata Hope,""アカザ、シロザ、イヌビユなど"",4~10月"
"イノコヅチカメノコハムシ,Cassida japana Baly,イノコヅチ,4~10月"
"ヒメジンガサハムシ(ヨモギカメノコハムシ),Cassida fuscorufa Motschulsky,ヨモギ,4~11月"
"タテスジヒメジンガサハムシ(タテスジカメノコハムシ),Cassida circumdata Herbst,""サツマイモ、ハマヒルガオなど"",3~8月"
"ミドリカメノコハムシ,Cassida viridis japonica Yasutomi,""アキチョウジ、ヒメシロネ、カメバヒキオコシ、ウツボグサ"",5~7月"
"アオカメノコハムシ,Cassida rubiginosa Muller,アザミ類,4~9月"
"タグチホソヒラタハムシ,Leptispa taguchii Chujo,不明,不明"
"ミヤモトホソヒラタハムシ,Leptispa miyamotoi Kimoto,不明,不明"
"セモンジンガサハムシ(セモンカメノコハムシ),Cassida versicolor (Boheman),""サクラ、リンゴ、ナシなど"",4~10月"
"コガタカメノコハムシ,Cassida vespertina Boheman,ボタンヅル,4~10月"
"イチモンジカメノコハムシ,Thlaspida biramosa (Boheman),""ムラサキシキブ、ヤブムラサキ"",4~10月"
"エンドウマメゾウムシ(エンドウゾウムシ),Bruchus pisorum (Linnaeus),エンドウ,年1回発生"
"ソラマメゾウムシ,Bruchus rufimanus Boheman,ソラマメ,年1回発生"
"ミヤコグサマメゾウムシ(クロマメゾウムシ),Bruchus loti (Paykull),""ミヤコグサ、ハマエンドウの実"",不明"
"アズキマメゾウムシ,Callosobruchus chinensis (Linnaeus),""アズキ、ヤブツルアズキ、ヒメクズ"",不明"
"ヨツモンマメゾウムシ,Callosobruchus maculatus (Fabricius),アズキ類などマメ類,不明"
"インゲンマメゾウムシ,Acanthoscelides obtectus (Say),貯蔵インゲン,7~9月"
"イタチハギマメゾウムシ,Acanthoscelides pallidipennis (Motschulsky),イタチハギ,不明"
"ブラジルマメゾウムシ,Zabrotes subfasciatus (Boheman),""インゲン、ベニバナインゲン、アズキなど"",不明"
"フェモラータオオモモブトハムシ,Sagra femorata (Drury),""クズ、マメ科、ヒルガオ科、ヤマノイモ科、柑橘類、コーヒーなど"",7~8月"
"ミスジクビボソハムシ,Lema trivittata Say,センナリホオズキ（ナス科植物）,5~11月"
"タイワンハムシ,Plagiosterna formosana (Bates),ハンノキ類,""2~6月(他時期は不明)"""
"ユーカリハムシ,Trachymela sloanei (Blackburn),ユーカリ類,不明"
"キベリハムシ,Oides bowringii (Baly),ビナンカズラなど,6~8月"
"ヒロヒゲツツハムシ,Diachus auratus (Fabricius),ギンネム,3~5月"
"ブタクサハムシ,Ophraella communa LeSage,""ブタクサ、オオブタクサ"",3~10月"
"ナガヒラタハムシ(キムネクロナガハムシ),Brontispa longissima (Gestro),ココヤシなどヤシ類,""4~6月(おそらく周年)"""
"カラタチトビハムシ,Podagricomela weisei Heikertinger,カラタチ,""4~6月(?)"""
"タバコノミハムシ,Epitrix hirtipennis (Melsheimer),""ジャガイモ、ナス、トマトなどナス科植物"",5~11月"
"ミカンカメノコハムシ,Cassida obtusata Boheman,""柑橘類、イヌビユ、ケイトウなどヒユ科植物"",3~10月"